feature,mean_abs_shap
Median_BVP,0.05688441865901118
pNN50,0.035821891118968906
Std_PP,0.03171242706919957
Std_HR,0.029258179580987115
Std_BVP,0.029229844009514113
Std_d1,0.028463795512450398
N_PEAKS,0.02534613731341629
Std_d2,0.025188261746576995
Mode_BVP,0.02485939653932312
Mean_HR,0.022010203035532635
SD1,0.0209699237305816
RMSSD,0.01830659847445785
Mean_PP,0.018038955178418047
SD2,0.01209649359708585
HF,0.010797683100048038
Std_EDA,0.009357678040853851
Mode_EDA,0.008123343794467726
M_Amp,0.007640916277083781
Min_EDA,0.007052256442259927
Median_EDA,0.006930695154276073
Mean_EDA,0.0066342795678471555
Max_EDA,0.006115617818432748
Min_BVP,0.005824202470684203
Mean_BVP,0.00528076163753031
Max_BVP,0.004858280901244466
LF_HF_Ratio,0.004464555301983648
M_D,0.0044418152138032555
M_d1,0.004249362300942793
M_d2,0.003873630095386493
HFn,0.003555385102334722
M_RT,0.00322997687390414
LF,0.0030902075014664055
